time,primeFreq,secondFreq,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma
2017-05-08T17:06:30.557+0300,10.0,5.0,6825,4096,3659,6314,3978,1901,2518,473
2017-05-08T17:06:31.547+0300,10.0,5.0,2670,5465,899,2038,5803,3285,986,1254
2017-05-08T17:06:32.537+0300,10.0,5.0,853,6741,5473,1722,3159,5532,1559,978
2017-05-08T17:06:33.533+0300,10.0,5.0,7656,10825,4293,6695,4706,3782,1493,1692
2017-05-08T17:06:37.510+0300,10.0,5.0,17076,20003,7522,7220,19713,3021,1428,841
2017-05-08T17:06:38.485+0300,10.0,5.0,11143,16025,1668,6222,19477,7099,1477,2259
2017-05-08T17:06:39.481+0300,10.0,5.0,19356,7028,9140,7757,5312,6886,1986,1084
2017-05-08T17:06:57.350+0300,10.0,5.0,5516,5397,6854,2160,8229,4771,3625,714
2017-05-08T17:06:58.346+0300,10.0,5.0,10139,15568,2862,1773,4680,7808,1533,819
2017-05-08T17:07:04.305+0300,10.0,5.0,17983,4547,2978,4018,8892,2598,3172,931
2017-05-08T17:07:05.294+0300,10.0,5.0,4084,6080,10397,7783,8811,8453,2851,901
2017-05-08T17:07:06.286+0300,10.0,5.0,2707,22074,1347,11587,3601,3928,1846,3254
2017-05-08T17:07:07.271+0300,10.0,5.0,9937,21205,2448,6406,6166,3808,2462,1097
2017-05-08T17:07:15.213+0300,10.0,5.0,3461,10234,577,3870,7003,10037,966,1234
2017-05-08T17:07:35.080+0300,10.0,5.0,5128,6053,1953,6071,6451,7825,780,635
2017-05-08T17:07:36.064+0300,10.0,5.0,5885,5333,5018,3728,3598,5624,793,1270
2017-05-08T17:07:37.052+0300,10.0,5.0,3908,5285,9348,1452,5737,9762,2224,1943
2017-05-08T17:07:38.060+0300,10.0,5.0,6930,11989,3488,2183,2273,3132,2016,1089
2017-05-08T17:07:39.055+0300,10.0,5.0,2120,10710,5113,5094,7831,4275,1580,1876
2017-05-08T17:07:53.937+0300,10.0,5.0,2604,9806,5888,2400,8866,6172,1171,1659
2017-05-08T17:07:54.932+0300,10.0,5.0,3914,12365,1675,3428,22711,7510,1138,767
2017-05-08T17:07:55.921+0300,10.0,5.0,8670,10428,1402,3763,14620,6133,1620,1546
2017-05-08T17:08:01.876+0300,10.0,5.0,8651,6222,8787,3495,5374,10287,1023,1570
2017-05-08T17:08:11.811+0300,10.0,5.0,3539,8903,6091,11374,3856,3744,2331,1239
2017-05-08T17:08:13.791+0300,10.0,5.0,4600,8934,7851,6002,6713,5188,1742,1408
2017-05-08T17:08:14.782+0300,10.0,5.0,6693,2331,11810,4515,10175,3609,1951,1253
2017-05-08T17:08:15.772+0300,10.0,5.0,6152,8077,3349,15109,6908,4759,2149,770
2017-05-08T17:08:16.765+0300,10.0,5.0,12894,19736,1845,7351,5427,5963,2326,1776
2017-05-08T17:08:17.763+0300,10.0,5.0,10393,12855,3060,8508,5033,3403,898,694
2017-05-08T17:08:18.758+0300,10.0,5.0,5138,14751,3923,3997,3382,11865,2297,1580
2017-05-08T17:08:19.744+0300,10.0,5.0,6943,12109,5057,1278,8281,7863,1334,1080
2017-05-08T17:08:25.694+0300,10.0,5.0,17435,3999,5193,4501,4933,5605,1060,1150
2017-05-08T17:08:26.685+0300,10.0,5.0,4912,5409,19896,5248,3350,3192,1289,908
2017-05-08T17:08:27.690+0300,10.0,5.0,17169,10893,10173,6652,5646,2477,1009,2246
2017-05-08T17:08:28.677+0300,10.0,5.0,5623,4330,4189,4657,3513,5054,1068,948
2017-05-08T17:08:29.677+0300,10.0,5.0,3338,11323,6433,610,5698,3807,2302,1187
2017-05-08T17:08:30.665+0300,10.0,5.0,6020,10528,5869,4223,3112,2961,985,1435
2017-05-08T17:08:31.658+0300,10.0,5.0,7035,8955,7061,4953,1967,1133,1340,1271
2017-05-08T17:08:38.607+0300,10.0,5.0,8020,9522,2355,9884,5136,3904,1399,1254
2017-05-08T17:08:39.595+0300,10.0,5.0,3733,4824,6463,10127,6688,4717,1881,1780
