time,primeFreq,secondFreq,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma
2017-05-08T15:59:21.493+0300,10.0,5.0,5370,4488,2505,5351,5797,7876,755,1793
2017-05-08T15:59:22.500+0300,10.0,5.0,11380,11268,4992,10502,3780,6619,4205,3476
2017-05-08T15:59:23.490+0300,10.0,5.0,13801,11969,9844,11222,5743,3783,1902,819
2017-05-08T15:59:24.479+0300,10.0,5.0,8933,9893,4085,5192,8110,6839,919,1037
2017-05-08T15:59:25.469+0300,10.0,5.0,5499,7897,2959,2510,4684,3832,2191,1604
2017-05-08T15:59:26.457+0300,10.0,5.0,7623,4526,7345,7154,2855,9856,2058,1335
2017-05-08T15:59:27.464+0300,10.0,5.0,1258,9714,1598,3319,715,3578,1421,1373
2017-05-08T15:59:28.450+0300,10.0,5.0,3597,2808,5119,1253,884,1322,689,503
2017-05-08T15:59:30.427+0300,10.0,5.0,6098,11138,3017,4148,7038,4458,2833,1072
2017-05-08T15:59:31.415+0300,10.0,5.0,3686,5306,7158,755,1904,2968,1289,1684
2017-05-08T15:59:32.430+0300,10.0,5.0,15912,4538,4557,4321,4198,4769,1073,1795
2017-05-08T15:59:33.399+0300,10.0,5.0,9715,6089,2572,3325,4693,5245,1906,2332
2017-05-08T15:59:34.409+0300,10.0,5.0,3215,4260,3819,3569,6630,4472,1215,1330
2017-05-08T15:59:35.401+0300,10.0,5.0,10912,12832,10162,3355,2194,5272,2094,1597
2017-05-08T15:59:36.387+0300,10.0,5.0,6455,7864,1757,5095,3739,5369,1756,1708
2017-05-08T15:59:37.377+0300,10.0,5.0,11191,10633,2644,3053,3690,5647,2789,1410
2017-05-08T15:59:49.301+0300,10.0,5.0,9690,15073,1341,3698,4366,5222,684,2200
2017-05-08T15:59:50.289+0300,10.0,5.0,4126,4171,8690,5019,8961,5940,2258,1121
2017-05-08T16:00:06.169+0300,10.0,5.0,10890,7411,4773,5380,6347,2591,1541,1151
2017-05-08T16:00:07.157+0300,10.0,5.0,6068,3626,2490,1844,4882,11105,1267,895
2017-05-08T16:00:08.146+0300,10.0,5.0,10725,7759,3178,2974,4436,3577,345,671
2017-05-08T16:00:09.137+0300,10.0,5.0,3831,4088,1715,3621,5822,5426,1193,2749
2017-05-08T16:00:13.120+0300,10.0,5.0,2907,19341,7171,442,4756,3539,1367,395
2017-05-08T16:00:14.113+0300,10.0,5.0,9950,10024,3555,7543,4609,5906,2462,562
2017-05-08T16:00:15.102+0300,10.0,5.0,6794,8907,3770,1614,5037,4840,1519,551
2017-05-08T16:00:16.095+0300,10.0,5.0,3474,10796,3951,4009,3211,4786,1267,1418
2017-05-08T16:00:23.034+0300,10.0,5.0,7693,12114,11350,1614,1851,4613,1164,2006
2017-05-08T16:00:24.025+0300,10.0,5.0,13578,14258,11067,7833,6070,2590,851,776
2017-05-08T16:00:25.034+0300,10.0,5.0,6848,9189,1071,7459,6014,3993,2363,1217
2017-05-08T16:00:26.025+0300,10.0,5.0,3087,16000,7222,4034,3315,4634,982,1319
2017-05-08T16:00:27.012+0300,10.0,5.0,15956,19492,9993,4965,8383,8423,1146,1818
2017-05-08T16:00:27.997+0300,10.0,5.0,16398,6423,5948,6245,6913,6598,2012,1827
2017-05-08T16:00:28.990+0300,10.0,5.0,4758,3032,5728,470,4574,2964,1176,2818
2017-05-08T16:00:30.986+0300,10.0,5.0,23184,2979,3651,6556,5026,4073,2425,2425
2017-05-08T16:00:46.858+0300,10.0,5.0,6291,4555,15088,7334,8252,4554,1475,1249
2017-05-08T16:00:48.855+0300,10.0,5.0,15123,10560,5826,9271,6300,2474,2767,673
2017-05-08T16:00:49.839+0300,10.0,5.0,551,6745,5184,4782,2075,1538,2181,834
2017-05-08T16:00:50.830+0300,10.0,5.0,19550,5949,5919,1980,5265,3881,935,851
2017-05-08T16:00:51.823+0300,10.0,5.0,3183,19839,606,2616,6394,1880,1781,643
2017-05-08T16:00:52.816+0300,10.0,5.0,6180,2589,932,1644,559,1011,307,605
