time,primeFreq,secondFreq,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma
2017-05-19T15:22:19.731+0300,10.0,5.0,14979,19011,915,4978,5820,11281,1295,2383
2017-05-19T15:22:20.737+0300,10.0,5.0,6671,36509,7118,1754,8061,4059,1235,1449
2017-05-19T15:22:21.730+0300,10.0,5.0,7809,4335,10739,8226,9796,3957,1657,954
2017-05-19T15:24:11.915+0300,10.0,5.0,17198,6424,4554,3184,1733,2627,846,386
2017-05-19T15:24:42.677+0300,10.0,5.0,28678,11726,16529,7914,5346,3862,1495,844
2017-05-19T15:24:43.683+0300,10.0,5.0,28349,26846,7163,4538,7900,20214,1536,1028
2017-05-19T15:24:45.660+0300,10.0,5.0,10819,12097,26419,7712,7103,4813,1974,1275
2017-05-19T15:24:51.619+0300,10.0,5.0,38319,31683,5128,4878,18103,3992,1931,1166
2017-05-19T15:24:52.610+0300,10.0,5.0,3984,7486,91,1731,824,2208,496,211
2017-05-19T15:24:53.598+0300,10.0,5.0,5197,1351,2163,2012,454,526,452,280
2017-05-19T15:24:54.589+0300,10.0,5.0,3481,11396,501,2471,5603,4336,1041,945
2017-05-19T15:24:59.548+0300,10.0,5.0,162621,11509,2890,1875,3552,4355,2921,1768
2017-05-19T15:25:01.548+0300,10.0,5.0,32817,6778,3495,12266,7910,6680,1042,1560
2017-05-19T15:25:04.512+0300,10.0,5.0,11897,3283,9350,3758,9327,5367,1100,1176
2017-05-19T15:25:05.521+0300,10.0,5.0,3177,2513,956,921,703,1437,841,311
2017-05-19T15:25:06.505+0300,10.0,5.0,10037,11968,5162,7785,11858,3116,1961,1546
2017-05-19T15:25:07.498+0300,10.0,5.0,6675,11126,7601,1608,3876,6350,1642,1502
2017-05-19T15:25:09.479+0300,10.0,5.0,14375,19430,13753,13115,8006,1605,3192,1410
2017-05-19T15:25:33.301+0300,10.0,5.0,6874,14476,7567,6144,9339,4141,942,722
2017-05-19T15:25:34.291+0300,10.0,5.0,16569,21488,12437,6986,2920,4379,1092,1490
2017-05-19T15:25:44.225+0300,10.0,5.0,4176,6863,2106,1251,556,1478,479,305
2017-05-19T15:25:55.146+0300,10.0,5.0,1450,4632,1523,1248,1349,765,413,482
2017-05-19T15:25:56.135+0300,10.0,5.0,10254,17856,6008,4715,6101,4900,769,974
2017-05-19T15:26:12.022+0300,10.0,5.0,2619,10172,11151,5445,19854,7624,5354,1508
2017-05-19T15:26:14.994+0300,10.0,5.0,11721,9137,3007,15416,12314,5540,1522,2192
2017-05-19T15:26:16.996+0300,10.0,5.0,9451,10897,3205,4571,8175,4823,2040,1342
2017-05-19T15:26:26.924+0300,10.0,5.0,9637,14567,4154,3266,7639,3548,3060,1135
2017-05-19T15:27:01.655+0300,10.0,5.0,26628,25409,3884,10142,4930,7544,1833,1923
2017-05-19T15:27:07.614+0300,10.0,5.0,14592,6334,1336,3491,3905,3987,1302,1050
2017-05-19T15:27:09.599+0300,10.0,5.0,33020,1710,413,9135,10401,2636,1816,971
2017-05-19T15:27:10.600+0300,10.0,5.0,30716,40346,5829,2551,3061,5850,1040,1966
2017-05-19T15:27:11.593+0300,10.0,5.0,12499,16259,6694,3662,6922,3163,768,990
2017-05-19T15:27:12.573+0300,10.0,5.0,584528,15022,10476,1698,1137,809,215,528
2017-05-19T15:27:31.433+0300,10.0,5.0,3037,22804,11000,11787,2883,1805,1105,2714
2017-05-19T15:27:32.421+0300,10.0,5.0,3815,13388,7111,6330,7043,5338,3381,1339
2017-05-19T15:28:04.195+0300,10.0,5.0,25060,15128,1359,4612,21425,7948,2806,1566
2017-05-19T15:28:05.199+0300,10.0,5.0,35872,10503,3390,7388,8540,5602,1573,760
2017-05-19T15:28:06.183+0300,10.0,5.0,9186,10403,30535,8289,18183,2721,4230,1591
2017-05-19T15:28:07.170+0300,10.0,5.0,17356,35867,2432,16833,2365,4695,767,676
2017-05-19T15:28:14.133+0300,10.0,5.0,13239,13576,1833,3552,6024,4226,1627,1257
