time,primeFreq,secondFreq,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma
2017-05-11T18:47:36.949+0300,8.0,4.0,8877,5992,5375,758,5761,2184,1543,1470
2017-05-11T18:47:37.936+0300,8.0,4.0,16846,4269,9825,3288,4777,2068,2552,1547
2017-05-11T18:47:38.928+0300,8.0,4.0,7625,9837,6380,3677,6813,3122,1297,761
2017-05-11T18:47:39.915+0300,8.0,4.0,7267,5844,1165,1682,6225,2553,1149,871
2017-05-11T18:47:40.909+0300,8.0,4.0,10601,15072,9063,4742,1911,8524,1465,467
2017-05-11T18:47:41.899+0300,8.0,4.0,20971,7294,10816,5608,5068,9349,2076,1364
2017-05-11T18:47:42.890+0300,8.0,4.0,738,2427,2190,915,5154,1448,318,295
2017-05-11T18:47:43.879+0300,8.0,4.0,17067,5526,13246,1810,9049,8206,546,1040
2017-05-11T18:47:44.888+0300,8.0,4.0,4627,15193,7634,2735,3979,3825,1267,1186
2017-05-11T18:47:45.876+0300,8.0,4.0,1843,5330,3058,3794,1528,2900,2175,1539
2017-05-11T18:47:46.853+0300,8.0,4.0,7494,9236,1272,9082,11392,9937,751,559
2017-05-11T18:47:47.862+0300,8.0,4.0,1971,3823,2711,4326,1708,4833,2325,2118
2017-05-11T18:47:48.846+0300,8.0,4.0,3316,9501,4464,5279,5161,5302,2244,1037
2017-05-11T18:47:49.852+0300,8.0,4.0,21089,6715,1044,2186,3989,3970,1659,687
2017-05-11T18:47:50.837+0300,8.0,4.0,1985,1200,1676,1174,982,1073,518,131
2017-05-11T18:47:51.826+0300,8.0,4.0,6118,10217,7332,7845,3210,3219,1138,523
2017-05-11T18:47:52.827+0300,8.0,4.0,4342,6471,5006,10205,994,5111,1126,805
2017-05-11T18:47:53.813+0300,8.0,4.0,2572,3367,5060,2256,9364,6581,1054,765
2017-05-11T18:47:54.801+0300,8.0,4.0,11020,7638,4422,3441,2371,10354,3040,1223
2017-05-11T18:47:55.793+0300,8.0,4.0,5543,7283,3124,10640,4698,2255,1563,880
2017-05-11T18:47:56.782+0300,8.0,4.0,8024,5006,5073,8636,2038,4304,1635,508
2017-05-11T18:47:57.791+0300,8.0,4.0,4590,2742,3146,5043,3640,4893,1654,1140
2017-05-11T18:47:58.779+0300,8.0,4.0,2924,10176,30223,15145,3947,11604,3196,1618
2017-05-11T18:47:59.768+0300,8.0,4.0,2691,10459,1466,5038,1221,3953,6708,1008
2017-05-11T18:48:00.760+0300,8.0,4.0,877,7964,4736,8797,7447,4189,1094,750
2017-05-11T18:48:01.754+0300,8.0,4.0,5103,11566,4530,3294,19700,9871,2511,2715
2017-05-11T18:48:02.740+0300,8.0,4.0,5007,2675,3505,1947,5012,5898,2190,513
2017-05-11T18:48:03.749+0300,8.0,4.0,2267,6545,1976,6195,14683,7798,2094,1175
2017-05-11T18:48:04.739+0300,8.0,4.0,4792,7059,1811,5182,4342,4223,2089,1424
2017-05-11T18:48:07.714+0300,8.0,4.0,6537,23148,6724,46943,5945,16255,2117,1249
2017-05-11T18:48:09.692+0300,8.0,4.0,5637,4510,3006,6598,3367,5281,2033,829
2017-05-11T18:48:10.681+0300,8.0,4.0,2090,6918,2538,2846,3521,5936,1289,1156
2017-05-11T18:48:11.693+0300,8.0,4.0,6410,1605,485,1049,817,608,533,408
2017-05-11T18:48:12.681+0300,8.0,4.0,12421,10004,1810,4484,5107,4181,1998,1768
2017-05-11T18:48:13.656+0300,8.0,4.0,8695,4822,4724,8754,13038,5623,1905,899
2017-05-11T18:48:14.667+0300,8.0,4.0,5628,8469,11298,9511,18632,4289,2014,1222
2017-05-11T18:48:15.652+0300,8.0,4.0,8864,1965,4493,562,1170,3048,1938,1085
2017-05-11T18:48:16.642+0300,8.0,4.0,8080,4612,184,3924,3326,6831,1046,1709
2017-05-11T18:48:17.631+0300,8.0,4.0,7421,2512,1425,1713,904,2643,765,1452
2017-05-11T18:48:18.617+0300,8.0,4.0,5098,4992,2113,3763,2693,3372,2205,848
