time,primeFreq,secondFreq,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma
2017-05-26T14:47:32.025+0300,8.0,4.0,4239,2905,1005,2338,5057,6668,1006,759
2017-05-26T14:47:33.015+0300,8.0,4.0,4796,11963,1300,5718,1718,5918,670,727
2017-05-26T14:47:34.023+0300,8.0,4.0,5846,2467,5297,2370,9097,4622,1124,1442
2017-05-26T14:47:34.994+0300,8.0,4.0,3545,5396,343,761,7708,5230,2067,1726
2017-05-26T14:47:35.988+0300,8.0,4.0,16701,18900,9914,6510,15301,3574,2325,1418
2017-05-26T14:47:36.980+0300,8.0,4.0,8402,25273,2272,10908,4900,3356,1271,839
2017-05-26T14:47:37.989+0300,8.0,4.0,3692,9864,727,5263,4048,5523,1175,2003
2017-05-26T14:47:42.948+0300,8.0,4.0,2258,7894,3132,1404,4753,2894,1596,922
2017-05-26T14:47:43.939+0300,8.0,4.0,7155,7865,5359,4049,4124,2965,657,871
2017-05-26T14:47:44.925+0300,8.0,4.0,1300,5528,5739,3104,2697,1814,777,803
2017-05-26T14:47:45.914+0300,8.0,4.0,9342,10545,3093,3944,376,5837,614,1060
2017-05-26T14:47:54.863+0300,8.0,4.0,5662,9385,3491,1803,1793,6280,1791,729
2017-05-26T14:47:55.849+0300,8.0,4.0,3774,3013,8502,3627,3516,6382,1236,1332
2017-05-26T14:47:56.841+0300,8.0,4.0,9436,5072,3139,8358,1892,3508,1942,1344
2017-05-26T14:48:15.691+0300,8.0,4.0,13725,7390,2644,8519,10960,6585,1075,567
2017-05-26T14:48:16.687+0300,8.0,4.0,2667,12829,8904,14461,33107,5911,1231,1174
2017-05-26T14:48:17.697+0300,8.0,4.0,2810,2452,1645,4130,6468,4623,1516,1052
2017-05-26T14:48:18.687+0300,8.0,4.0,4664,5120,4462,4607,9348,3326,984,605
2017-05-26T14:48:19.678+0300,8.0,4.0,4543,14928,12174,7378,3769,2805,787,662
2017-05-26T14:48:33.571+0300,8.0,4.0,5231,5051,9710,2752,4982,8061,4787,947
2017-05-26T14:48:34.571+0300,8.0,4.0,6774,4644,4093,2720,9120,4960,1961,1370
2017-05-26T14:48:35.552+0300,8.0,4.0,12275,7045,3338,4019,7520,3347,1298,659
2017-05-26T14:48:36.560+0300,8.0,4.0,8846,4949,5369,1012,5619,2770,1020,1928
2017-05-26T14:48:37.539+0300,8.0,4.0,4241,4185,5840,4821,5562,2240,1132,1487
2017-05-26T14:48:48.455+0300,8.0,4.0,1758,1735,5594,5010,7403,2517,1374,920
2017-05-26T14:48:49.461+0300,8.0,4.0,1080,6566,8771,1725,2237,2659,965,734
2017-05-26T14:48:50.452+0300,8.0,4.0,1370,11067,6279,3929,2793,3044,1627,962
2017-05-26T14:49:06.320+0300,8.0,4.0,7435,12063,14453,12643,6265,3985,2329,1612
2017-05-26T14:49:29.168+0300,8.0,4.0,15827,2484,2705,8200,4201,5518,2911,1890
2017-05-26T14:49:30.160+0300,8.0,4.0,2944,4077,232,2700,2398,7767,1058,907
2017-05-26T14:49:31.149+0300,8.0,4.0,10530,11358,2017,1112,7914,5785,966,989
2017-05-26T14:49:32.140+0300,8.0,4.0,11901,3707,5027,5085,1136,7056,486,2413
2017-05-26T14:49:33.131+0300,8.0,4.0,4501,9949,3442,6741,4644,3032,1229,778
2017-05-26T14:49:34.123+0300,8.0,4.0,4803,8147,1861,2981,1324,4877,1761,1399
2017-05-26T14:49:35.110+0300,8.0,4.0,1863,7260,3232,2458,12570,5118,651,728
2017-05-26T14:49:36.097+0300,8.0,4.0,2136,4170,8751,4906,1800,1655,1662,635
2017-05-26T14:49:37.090+0300,8.0,4.0,1705,1268,985,718,8217,3713,368,180
2017-05-26T14:49:39.082+0300,8.0,4.0,2095,2060,3275,4796,3305,9404,1041,1044
2017-05-26T14:49:41.065+0300,8.0,4.0,5991,7759,256,510,6826,5360,1302,2087
2017-05-26T14:49:42.056+0300,8.0,4.0,9271,4696,3907,5577,9525,3120,1930,1060
