time,primeFreq,secondFreq,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma
2017-05-26T15:16:21.229+0300,8.0,4.0,21499,13305,10840,11422,18831,11337,2574,1379
2017-05-26T15:16:22.201+0300,8.0,4.0,76649,17594,7792,13531,3782,7993,771,794
2017-05-26T15:16:23.209+0300,8.0,4.0,9308,7526,8885,6483,4285,7982,1156,1995
2017-05-26T15:17:10.864+0300,8.0,4.0,41130,11427,3340,3733,3566,2348,1055,685
2017-05-26T15:17:11.837+0300,8.0,4.0,5356,33580,7928,1696,2606,3493,2368,766
2017-05-26T15:17:26.741+0300,8.0,4.0,3233,12526,12411,4320,6243,6034,1076,795
2017-05-26T15:17:27.722+0300,8.0,4.0,157735,169495,12781,19502,6109,5015,1673,1136
2017-05-26T15:17:28.714+0300,8.0,4.0,45660,23744,7071,7167,13787,6616,1604,1940
2017-05-26T15:18:00.485+0300,8.0,4.0,1486,15708,10148,2479,4078,2934,1033,596
2017-05-26T15:18:01.475+0300,8.0,4.0,4285,16875,6747,1917,4189,3732,1346,1062
2017-05-26T15:18:07.442+0300,8.0,4.0,11634,16401,6226,6651,1583,7225,2590,930
2017-05-26T15:18:31.258+0300,8.0,4.0,2433,878,541,1321,3780,5255,286,446
2017-05-26T15:18:33.243+0300,8.0,4.0,17445,7733,2071,17593,3991,3707,832,1573
2017-05-26T15:18:34.243+0300,8.0,4.0,18032,13924,5434,6356,4409,4470,870,2346
2017-05-26T15:18:35.227+0300,8.0,4.0,3754,7818,5884,8090,5284,4012,2246,1614
2017-05-26T15:18:36.213+0300,8.0,4.0,4771,21761,5444,1293,6598,5924,1660,971
2017-05-26T15:18:54.093+0300,8.0,4.0,14998,19287,12236,18015,10733,7345,1440,3234
2017-05-26T15:18:55.083+0300,8.0,4.0,14778,15238,4583,12576,5526,8355,1340,460
2017-05-26T15:18:56.077+0300,8.0,4.0,17900,4591,18017,2202,3043,9757,806,1422
2017-05-26T15:19:08.966+0300,8.0,4.0,25037,15731,4219,3190,5135,3194,1500,641
2017-05-26T15:19:09.967+0300,8.0,4.0,15355,10302,9681,8474,6141,3382,1076,1068
2017-05-26T15:19:22.879+0300,8.0,4.0,14150,11685,1449,2486,4730,3519,2686,687
2017-05-26T15:19:23.860+0300,8.0,4.0,23759,12887,948,2865,11744,3737,1118,1562
2017-05-26T15:19:24.855+0300,8.0,4.0,7796,15572,6957,24308,12504,4550,1493,446
2017-05-26T15:19:36.777+0300,8.0,4.0,13214,5095,2901,6072,10867,6582,1242,747
2017-05-26T15:19:38.746+0300,8.0,4.0,7322,12530,132,4316,3888,7313,1190,554
2017-05-26T15:20:08.527+0300,8.0,4.0,29224,19096,3695,8423,5482,3048,1509,707
2017-05-26T15:20:09.536+0300,8.0,4.0,8025,14854,4685,2260,3027,4811,1407,2141
2017-05-26T15:20:41.284+0300,8.0,4.0,21881,31704,8038,2971,4398,2288,634,787
2017-05-26T15:20:42.278+0300,8.0,4.0,7304,7517,2832,6212,4274,7584,1783,789
2017-05-26T15:20:47.239+0300,8.0,4.0,11609,11316,6615,5077,2466,7201,968,765
2017-05-26T15:20:48.249+0300,8.0,4.0,42217,7066,695,2171,5594,2472,1807,1180
2017-05-26T15:20:49.238+0300,8.0,4.0,36835,11697,1513,7536,6515,2066,1355,1342
2017-05-26T15:20:50.228+0300,8.0,4.0,17464,11637,17222,2904,2733,4186,1456,2279
2017-05-26T15:21:22.979+0300,8.0,4.0,7501,12181,2116,901,51260,15767,1500,1361
2017-05-26T15:21:23.971+0300,8.0,4.0,15290,7939,7484,9826,16913,55292,1150,802
2017-05-26T15:21:24.963+0300,8.0,4.0,26878,15783,17188,9406,7781,13559,3712,1763
2017-05-26T15:21:25.955+0300,8.0,4.0,3642,9242,2983,13350,5142,20008,1101,3125
2017-05-26T15:21:26.959+0300,8.0,4.0,6205,2367,1028,14092,11552,16314,2261,792
2017-05-26T15:21:27.946+0300,8.0,4.0,2785,5838,5184,4019,13722,10398,1288,487
