time,primeFreq,secondFreq,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma
2017-05-26T14:37:25.520+0300,8.0,4.0,120566,16451,1791,7564,3252,2521,856,401
2017-05-26T14:37:26.505+0300,8.0,4.0,5450,1992,1778,562,2629,1356,886,328
2017-05-26T14:37:27.494+0300,8.0,4.0,15787,21623,5545,7652,2713,3292,1201,545
2017-05-26T14:37:28.483+0300,8.0,4.0,50341,18692,2935,1082,3854,5096,2474,2013
2017-05-26T14:37:31.473+0300,8.0,4.0,11947,23793,14951,15772,12859,8624,3144,1830
2017-05-26T14:37:32.462+0300,8.0,4.0,705,2117,378,575,728,960,244,265
2017-05-26T14:37:33.453+0300,8.0,4.0,8554,26084,10435,7637,4869,4302,1157,1223
2017-05-26T14:37:34.439+0300,8.0,4.0,1758,6833,3464,4178,1505,4421,1918,848
2017-05-26T14:37:36.435+0300,8.0,4.0,987,1106,1688,290,835,550,151,418
2017-05-26T14:37:37.424+0300,8.0,4.0,30089,28348,7579,12644,9763,3114,1437,2142
2017-05-26T14:37:45.365+0300,8.0,4.0,67111,40978,21085,5376,7609,6313,2661,2442
2017-05-26T14:37:46.351+0300,8.0,4.0,5778,5038,2730,887,2007,3278,1606,1885
2017-05-26T14:37:47.353+0300,8.0,4.0,7581,13146,5003,2784,7262,6166,1062,2216
2017-05-26T14:37:48.340+0300,8.0,4.0,5597,2664,1737,1306,4704,3374,3105,1593
2017-05-26T14:37:49.328+0300,8.0,4.0,1938,2263,1604,2877,4160,3269,2931,1074
2017-05-26T14:37:50.317+0300,8.0,4.0,11452,6244,4294,4910,3592,6691,2142,973
2017-05-26T14:37:51.330+0300,8.0,4.0,1561,5687,2308,590,1007,1840,586,903
2017-05-26T14:37:52.321+0300,8.0,4.0,16074,14179,5318,16210,6585,8052,4001,1537
2017-05-26T14:37:53.307+0300,8.0,4.0,4468,5617,9565,6730,7534,2991,1547,1868
2017-05-26T14:37:54.304+0300,8.0,4.0,6992,2216,1017,2721,6549,2067,456,1069
2017-05-26T14:37:55.292+0300,8.0,4.0,3265,9565,2312,4122,2813,3386,2690,1807
2017-05-26T14:37:56.274+0300,8.0,4.0,13086,30230,8868,12919,11097,18062,1698,2514
2017-05-26T14:37:57.277+0300,8.0,4.0,4468,5978,2485,2456,5576,4366,2184,923
2017-05-26T14:37:58.263+0300,8.0,4.0,50009,25355,7903,9195,4661,5790,1325,2287
2017-05-26T14:37:59.258+0300,8.0,4.0,35700,25882,15374,8922,17778,3724,2288,874
2017-05-26T14:38:00.246+0300,8.0,4.0,9920,5122,2015,5035,5056,6299,1612,1375
2017-05-26T14:38:01.254+0300,8.0,4.0,9800,7496,9983,5094,3942,5640,1625,821
2017-05-26T14:38:02.226+0300,8.0,4.0,9596,13500,13733,5440,6081,7384,3894,1086
2017-05-26T14:38:03.235+0300,8.0,4.0,10411,5330,3354,4216,3610,4394,1765,1699
2017-05-26T14:38:04.218+0300,8.0,4.0,34170,55699,12748,27605,5250,12903,1437,3200
2017-05-26T14:38:05.228+0300,8.0,4.0,21783,17619,12583,4022,19014,10967,1729,1420
2017-05-26T14:38:06.199+0300,8.0,4.0,18151,2184,2698,1726,2294,4213,1735,558
2017-05-26T14:38:07.209+0300,8.0,4.0,20133,21396,8801,1871,19642,3975,661,890
2017-05-26T14:38:08.196+0300,8.0,4.0,3462,4200,2931,1723,1494,3673,2021,1656
2017-05-26T14:38:09.186+0300,8.0,4.0,3789,2921,3871,2980,1073,3995,2047,1026
2017-05-26T14:38:10.172+0300,8.0,4.0,2435,4224,2453,2030,4040,1886,757,851
2017-05-26T14:38:11.176+0300,8.0,4.0,16332,8586,3774,2566,1007,6717,1233,1114
2017-05-26T14:38:12.159+0300,8.0,4.0,9827,18117,14650,3891,10645,5980,2059,1497
2017-05-26T14:38:13.149+0300,8.0,4.0,32855,44197,17802,8963,9897,4785,2647,1375
2017-05-26T14:38:14.163+0300,8.0,4.0,11459,11913,1896,2707,6122,2044,909,1415
