time,primeFreq,secondFreq,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma
2017-05-23T12:43:31.273+0300,10.0,5.0,20687,38013,7841,2080,10951,5476,3530,1726
2017-05-23T12:43:32.264+0300,10.0,5.0,13578,10395,11217,906,9731,5248,2716,1050
2017-05-23T12:43:33.256+0300,10.0,5.0,17587,12096,5425,1662,5527,3982,2616,1100
2017-05-23T12:43:34.248+0300,10.0,5.0,19482,16775,4397,11566,5406,4580,4395,2504
2017-05-23T12:43:36.241+0300,10.0,5.0,441812,88844,42555,5570,9522,8688,6249,3390
2017-05-23T12:44:00.064+0300,10.0,5.0,55688,52183,42012,11860,10975,6310,3545,1834
2017-05-23T12:44:01.053+0300,10.0,5.0,25386,73930,7785,5786,5384,8830,1885,1619
2017-05-23T12:44:23.890+0300,10.0,5.0,21220,45780,9998,9812,4834,4118,2702,3217
2017-05-23T12:45:10.534+0300,10.0,5.0,42124,8958,4939,3499,5209,12870,8435,5693
2017-05-23T12:45:11.524+0300,10.0,5.0,45015,6104,9529,4144,3251,7355,6494,1916
2017-05-23T12:45:12.516+0300,10.0,5.0,81810,22421,4016,2872,4921,3120,1044,2592
2017-05-23T12:45:13.509+0300,10.0,5.0,9405,19610,4791,15035,7335,7498,1768,1956
2017-05-23T12:45:14.503+0300,10.0,5.0,33863,61176,22408,18717,7156,10903,3126,1769
2017-05-23T12:45:15.514+0300,10.0,5.0,8482,26592,7530,2673,941,5363,3500,2677
2017-05-23T12:45:17.493+0300,10.0,5.0,13178,33175,17531,2117,9511,7728,4303,1329
2017-05-23T12:45:21.455+0300,10.0,5.0,18286,4353,19554,21249,6994,14684,5431,3266
2017-05-23T12:45:23.439+0300,10.0,5.0,16377,9432,9895,6576,13262,5527,4708,1602
2017-05-23T12:45:24.430+0300,10.0,5.0,48235,11598,9873,2996,4021,9456,2944,3064
2017-05-23T12:45:25.420+0300,10.0,5.0,5349,2583,2359,3388,1075,2326,1342,498
2017-05-23T12:45:26.429+0300,10.0,5.0,281468,60590,1247,5784,22267,9419,9682,1502
2017-05-23T12:45:27.421+0300,10.0,5.0,8853,3760,1932,3634,569,3923,1041,1051
2017-05-23T12:45:28.411+0300,10.0,5.0,37973,7817,3708,13609,6790,8918,3222,3484
2017-05-23T12:45:29.405+0300,10.0,5.0,22735,16291,15897,13459,9611,3072,1217,670
2017-05-23T12:45:30.398+0300,10.0,5.0,2409968,487917,186396,208353,256241,71263,40819,19467
2017-05-23T12:45:31.384+0300,10.0,5.0,1448026,559707,173374,111293,119322,24048,45214,27032
2017-05-23T12:45:32.375+0300,10.0,5.0,28369,12057,14937,2073,4009,8281,4184,3061
2017-05-23T12:45:44.294+0300,10.0,5.0,9500,3342,1837,921,1394,1386,1408,284
2017-05-23T12:45:45.286+0300,10.0,5.0,44278,43333,17038,19056,22468,6028,3703,2838
2017-05-23T12:45:46.277+0300,10.0,5.0,24487,27430,23015,11938,2936,18358,4354,2936
2017-05-23T12:45:49.243+0300,10.0,5.0,22699,28511,2684,4286,1377,2567,1681,755
2017-05-23T12:46:04.152+0300,10.0,5.0,25650,21668,5927,3916,4051,6339,1546,503
2017-05-23T12:46:09.110+0300,10.0,5.0,31979,27127,32203,18950,6007,8917,8091,1862
2017-05-23T12:46:32.916+0300,10.0,5.0,2445,587,3812,1040,1357,1293,1054,458
2017-05-23T12:46:37.892+0300,10.0,5.0,21393,13233,17334,30034,19078,5253,3033,1984
2017-05-23T12:46:38.886+0300,10.0,5.0,6400,12884,12814,8545,3294,4981,3875,1542
2017-05-23T12:46:57.755+0300,10.0,5.0,21996,21124,40640,18566,10481,11886,3747,1887
2017-05-23T12:46:58.725+0300,10.0,5.0,8478,9878,8369,12505,2254,1280,957,358
2017-05-23T12:46:59.732+0300,10.0,5.0,13567,22609,3267,10269,3108,4888,3237,1031
2017-05-23T12:47:00.722+0300,10.0,5.0,16331,12950,6434,8354,5627,10468,5062,749
2017-05-23T12:47:30.499+0300,10.0,5.0,95605,24746,29098,20160,6262,7479,2211,2409
