time,primeFreq,secondFreq,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma
2017-05-24T12:15:50.820+0300,10.0,5.0,31758,8578,251,512,961,2665,501,451
2017-05-24T12:15:51.808+0300,10.0,5.0,13482,20752,4519,6367,5701,12667,1767,1477
2017-05-24T12:15:52.818+0300,10.0,5.0,5071,7818,17602,13648,3250,2717,1583,2391
2017-05-24T12:15:53.805+0300,10.0,5.0,7714,1322,4438,795,2533,2124,1283,497
2017-05-24T12:15:55.791+0300,10.0,5.0,17270,12537,4685,9570,1867,9557,4062,2089
2017-05-24T12:16:06.704+0300,10.0,5.0,10220,13932,3528,9785,7504,4741,3023,1326
2017-05-24T12:16:07.694+0300,10.0,5.0,25028,4612,4880,1989,8755,10752,4534,3691
2017-05-24T12:16:08.684+0300,10.0,5.0,5105,32269,9701,11326,2568,10081,2813,2675
2017-05-24T12:16:09.678+0300,10.0,5.0,94364,7038,2816,1587,1667,1344,877,302
2017-05-24T12:16:10.684+0300,10.0,5.0,4372,3782,2617,4354,4353,6643,2668,1385
2017-05-24T12:16:11.674+0300,10.0,5.0,15196,27909,3703,3912,8994,2997,2390,755
2017-05-24T12:16:12.665+0300,10.0,5.0,12733,14535,20297,6301,5793,6436,2034,2531
2017-05-24T12:16:19.603+0300,10.0,5.0,6090,3725,14315,12452,7128,8042,3363,2924
2017-05-24T12:16:20.594+0300,10.0,5.0,14198,15749,6570,4051,3307,6813,3278,774
2017-05-24T12:16:21.601+0300,10.0,5.0,21591,11838,7072,11668,3998,3928,2775,2663
2017-05-24T12:16:22.588+0300,10.0,5.0,13747,10503,2938,6846,2669,7421,2825,3289
2017-05-24T12:16:23.578+0300,10.0,5.0,12409,35402,966,4216,3377,10255,2619,1334
2017-05-24T12:16:24.566+0300,10.0,5.0,10021,6716,2158,10603,3596,5680,7317,1737
2017-05-24T12:16:25.576+0300,10.0,5.0,101083,4655,161,1164,468,929,322,137
2017-05-24T12:16:26.546+0300,10.0,5.0,5187,12492,1656,2267,4409,13999,1948,959
2017-05-24T12:16:27.558+0300,10.0,5.0,14132,15146,10164,6985,4046,5480,3448,1507
2017-05-24T12:16:28.545+0300,10.0,5.0,9900,17179,5811,920,1742,6732,4080,2171
2017-05-24T12:16:29.536+0300,10.0,5.0,7065,29804,8841,16032,8989,2576,7706,1829
2017-05-24T12:16:30.528+0300,10.0,5.0,36813,36018,10938,2183,4300,2306,952,505
2017-05-24T12:16:37.471+0300,10.0,5.0,36153,7875,2261,2378,774,1697,665,346
2017-05-24T12:16:38.463+0300,10.0,5.0,32129,16496,1897,7070,4945,9805,7429,2630
2017-05-24T12:16:40.462+0300,10.0,5.0,8856,25479,12259,14898,4071,9453,1585,1527
2017-05-24T12:16:41.451+0300,10.0,5.0,3310,4594,23476,12935,1874,6760,2873,1424
2017-05-24T12:16:42.439+0300,10.0,5.0,102314,17918,17285,3433,1374,5064,1648,810
2017-05-24T12:16:43.429+0300,10.0,5.0,11934,9642,1455,3550,3096,8891,5238,1525
2017-05-24T12:16:44.433+0300,10.0,5.0,3380,5762,2876,6119,6217,5333,2819,1482
2017-05-24T12:16:45.425+0300,10.0,5.0,3950,9133,12161,3683,3688,9524,1816,3222
2017-05-24T12:16:46.415+0300,10.0,5.0,4822,14245,9568,5920,5426,4108,2651,3306
2017-05-24T12:16:47.405+0300,10.0,5.0,9163,21068,1182,5410,8323,6763,4388,803
2017-05-24T12:16:48.393+0300,10.0,5.0,22932,14415,14486,4073,2693,4418,3439,4370
2017-05-24T12:16:49.380+0300,10.0,5.0,6307,20528,13183,4652,4787,3274,5309,2094
2017-05-24T12:16:59.307+0300,10.0,5.0,5164,12102,4543,9184,7494,7243,2732,2970
2017-05-24T12:17:00.320+0300,10.0,5.0,4873,22100,6283,2498,11676,10884,1795,1601
2017-05-24T12:17:01.309+0300,10.0,5.0,7123,25782,22162,10216,9265,5948,3120,1871
2017-05-24T12:17:02.299+0300,10.0,5.0,8576,15915,18664,13570,5003,5883,2786,3818
