time,primeFreq,secondFreq,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma
2017-05-31T13:16:47.544+0300,8.0,4.0,96083,28735,2657,2473,3512,2090,4282,18980
2017-05-31T13:16:48.550+0300,8.0,4.0,72686,21990,6766,3573,5006,6491,2788,16351
2017-05-31T13:16:49.533+0300,8.0,4.0,58862,4808,697,1068,1820,2259,528,3739
2017-05-31T13:16:50.521+0300,8.0,4.0,189453,78780,2815,18578,9411,3742,3173,11497
2017-05-31T13:16:51.509+0300,8.0,4.0,486657,335900,18314,33634,62406,15313,15926,66437
2017-05-31T13:16:52.518+0300,8.0,4.0,157206,18608,1706,1151,236,3053,1112,15451
2017-05-31T13:16:53.510+0300,8.0,4.0,1099292,12338,4128,7622,6914,2743,1118,19206
2017-05-31T13:16:54.497+0300,8.0,4.0,775466,71985,20776,19920,6370,7381,6762,81788
2017-05-31T13:16:55.489+0300,8.0,4.0,381082,256096,23606,22972,19979,38716,9277,81720
2017-05-31T13:16:56.480+0300,8.0,4.0,115490,14842,7055,2590,8101,3190,1316,19526
2017-05-31T13:16:57.474+0300,8.0,4.0,302995,70817,9441,9187,20117,9171,13543,67741
2017-05-31T13:16:58.463+0300,8.0,4.0,75722,28046,6245,8664,1461,4967,3411,13345
2017-05-31T13:16:59.449+0300,8.0,4.0,295956,19814,3639,8456,4198,5311,1646,16347
2017-05-31T13:17:00.460+0300,8.0,4.0,41248,22275,22190,15124,1980,5047,4319,21199
2017-05-31T13:17:01.448+0300,8.0,4.0,1370231,616094,143432,31363,18475,5826,13880,80792
2017-05-31T13:17:02.433+0300,8.0,4.0,698567,438810,75312,31625,21018,32078,19690,72600
2017-05-31T13:17:03.429+0300,8.0,4.0,2589619,162934,24870,8587,5312,5093,4590,16056
2017-05-31T13:17:04.415+0300,8.0,4.0,507834,683310,72201,11901,46553,24134,15844,52144
2017-05-31T13:17:05.425+0300,8.0,4.0,920534,42719,18514,13768,5444,3038,4116,15695
2017-05-31T13:17:06.413+0300,8.0,4.0,543013,189124,22448,11890,23956,20666,8967,63009
2017-05-31T13:17:07.401+0300,8.0,4.0,21947,6324,2561,896,2332,3138,819,25275
2017-05-31T13:17:08.389+0300,8.0,4.0,336687,271314,29230,3441,22367,14384,9377,65915
2017-05-31T13:17:09.397+0300,8.0,4.0,244195,18004,212,7813,1769,1585,738,3233
2017-05-31T13:17:10.388+0300,8.0,4.0,449024,633363,178660,43171,30757,10707,11269,71762
2017-05-31T13:17:11.378+0300,8.0,4.0,752074,245412,19941,8698,37892,17092,10235,65127
2017-05-31T13:17:12.367+0300,8.0,4.0,515951,35374,1699,19897,28429,9133,6089,76623
2017-05-31T13:17:13.356+0300,8.0,4.0,34559,11852,6986,1511,1626,1907,608,3097
2017-05-31T13:17:14.361+0300,8.0,4.0,1701689,461776,73010,24426,17594,19985,17776,86538
2017-05-31T13:17:15.346+0300,8.0,4.0,1074428,167310,60482,44603,41098,5081,7390,76432
2017-05-31T13:17:16.338+0300,8.0,4.0,692742,88216,21818,3204,25125,10513,4626,76128
2017-05-31T13:17:17.325+0300,8.0,4.0,1330068,371050,19383,36343,32508,8252,9865,82052
2017-05-31T13:17:18.326+0300,8.0,4.0,1666897,71273,10805,8787,10736,6022,2870,13838
2017-05-31T13:17:19.316+0300,8.0,4.0,2284792,192941,98718,23342,17989,33211,12548,77544
2017-05-31T13:17:20.307+0300,8.0,4.0,529282,111276,20339,42301,27753,22381,8460,63272
2017-05-31T13:17:21.290+0300,8.0,4.0,2461936,99890,22311,27600,28000,19639,16293,16119
2017-05-31T13:17:22.300+0300,8.0,4.0,1008138,55799,19158,28071,11886,12753,2516,4280
2017-05-31T13:17:23.291+0300,8.0,4.0,387338,129432,18106,5455,60887,41380,4123,72541
2017-05-31T13:17:24.278+0300,8.0,4.0,680430,323774,106752,78652,39089,14764,11419,21121
2017-05-31T13:17:25.268+0300,8.0,4.0,31427,20670,1129,648,406,318,106,1355
2017-05-31T13:17:26.254+0300,8.0,4.0,1648933,245988,50958,30352,139538,46165,8712,109462
