time,primeFreq,secondFreq,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma
2017-05-29T12:09:02.751+0300,8.0,4.0,760479,140662,7190,20124,3660,23767,4074,3639
2017-05-29T12:09:03.740+0300,8.0,4.0,32880,19080,4260,2046,1360,1416,1047,324
2017-05-29T12:09:04.750+0300,8.0,4.0,1403434,315523,19536,50524,23849,49712,16954,18878
2017-05-29T12:09:05.736+0300,8.0,4.0,181583,64542,301,4659,5909,5411,2155,3647
2017-05-29T12:09:06.731+0300,8.0,4.0,1125127,516564,21390,29302,62720,35766,8868,12767
2017-05-29T12:09:07.721+0300,8.0,4.0,690985,219865,18476,2285,3108,27628,2753,2998
2017-05-29T12:09:08.708+0300,8.0,4.0,843763,39892,55396,14623,12661,133604,65266,20795
2017-05-29T12:09:09.743+0300,8.0,4.0,109286,35972,36123,26968,19870,15380,16898,6547
2017-05-29T12:09:10.694+0300,8.0,4.0,267,284,186,167,135,73,28,13
2017-05-29T12:09:11.683+0300,8.0,4.0,67707,580231,20508,7082,13518,60916,8341,2688
2017-05-29T12:09:12.676+0300,8.0,4.0,255756,210707,145149,60396,30948,19182,13386,10547
2017-05-29T12:09:13.668+0300,8.0,4.0,1971718,233194,29708,90563,71612,102319,37290,13013
2017-05-29T12:09:14.679+0300,8.0,4.0,1010475,261731,92612,72742,9625,53326,9807,11936
2017-05-29T12:09:15.670+0300,8.0,4.0,278509,603108,153308,66654,30464,38752,6931,5842
2017-05-29T12:09:16.682+0300,8.0,4.0,1138484,181944,116704,36328,16515,16976,6288,3495
2017-05-29T12:09:17.652+0300,8.0,4.0,558291,57207,26195,18142,26515,8981,9072,5180
2017-05-29T12:09:18.639+0300,8.0,4.0,1373134,427044,99320,132897,21612,66438,24733,2584
2017-05-29T12:09:19.629+0300,8.0,4.0,1921860,644918,69631,65846,91732,146249,25991,11686
2017-05-29T12:09:20.617+0300,8.0,4.0,1251812,27054,107450,38194,27547,38089,19457,21623
2017-05-29T12:09:21.609+0300,8.0,4.0,1923075,431585,37311,56378,57800,54512,6117,3998
2017-05-29T12:09:22.600+0300,8.0,4.0,1259808,92465,23669,12566,7640,10578,3255,3176
2017-05-29T12:09:23.595+0300,8.0,4.0,831163,38696,8153,29696,4824,14251,5395,4076
2017-05-29T12:09:24.586+0300,8.0,4.0,288892,44987,85223,31802,30497,25589,13189,9595
2017-05-29T12:09:25.577+0300,8.0,4.0,1101553,245018,29923,21234,47755,56050,10659,10360
2017-05-29T12:09:26.591+0300,8.0,4.0,259797,59418,17830,13948,2656,6298,3694,1960
2017-05-29T12:09:27.582+0300,8.0,4.0,1535680,584595,121475,43922,41362,69302,26575,21416
2017-05-29T12:09:28.572+0300,8.0,4.0,1516599,60650,70307,28375,34934,51982,6254,3837
2017-05-29T12:09:29.559+0300,8.0,4.0,2185782,102147,19710,28932,26525,16953,13154,12032
2017-05-29T12:09:30.550+0300,8.0,4.0,1203775,127895,71164,82200,18414,44001,19541,5849
2017-05-29T12:09:31.542+0300,8.0,4.0,642478,28438,3224,6084,7644,9640,7180,3076
2017-05-29T12:09:32.540+0300,8.0,4.0,631993,882622,99386,78086,44362,33309,28873,31695
2017-05-29T12:09:33.528+0300,8.0,4.0,1416804,803699,368602,6371,126058,128055,44760,33972
2017-05-29T12:09:34.518+0300,8.0,4.0,1342693,114016,199401,45689,32068,37218,25784,28137
2017-05-29T12:09:35.507+0300,8.0,4.0,806507,111161,31388,17424,13040,19317,4892,10326
2017-05-29T12:09:36.514+0300,8.0,4.0,283862,87278,26481,51186,11828,17774,9173,21509
2017-05-29T12:09:37.507+0300,8.0,4.0,107256,19066,5584,4383,2570,5279,5019,1633
2017-05-29T12:09:38.495+0300,8.0,4.0,1055520,104492,11084,8011,6010,13643,5330,2577
2017-05-29T12:09:39.486+0300,8.0,4.0,744107,165011,127903,5618,8561,18645,9733,7165
2017-05-29T12:09:40.477+0300,8.0,4.0,798377,89291,73246,49265,26802,47800,14898,5698
2017-05-29T12:09:41.467+0300,8.0,4.0,976103,99925,7390,38781,24475,33243,19194,9380
