time,primeFreq,secondFreq,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma
2017-05-03T12:43:09.319+0300,10.0,10.0,670762,206120,9524,23997,43128,6218,2723,54780
2017-05-03T12:43:10.306+0300,10.0,10.0,1171625,64267,55225,41765,10404,15330,8799,50473
2017-05-03T12:43:11.290+0300,10.0,10.0,170065,60117,7429,6502,7504,3482,408,3169
2017-05-03T12:43:13.287+0300,10.0,10.0,1271762,68765,19017,40319,8603,9849,3032,58508
2017-05-03T12:43:14.281+0300,10.0,10.0,610429,113626,36566,27851,15144,4362,2248,53911
2017-05-03T12:43:15.271+0300,10.0,10.0,473133,42014,7235,3272,5927,2124,775,11938
2017-05-03T12:43:16.258+0300,10.0,10.0,232142,48134,3118,4029,6281,952,298,11996
2017-05-03T12:43:17.248+0300,10.0,10.0,101838,21562,628,666,1492,294,244,3321
2017-05-03T12:43:18.255+0300,10.0,10.0,756589,96763,49709,9772,19368,6020,1985,46988
2017-05-03T12:43:19.245+0300,10.0,10.0,531018,71822,68310,11229,41011,2525,1901,52210
2017-05-03T12:43:20.237+0300,10.0,10.0,185680,59821,15514,7380,8644,1764,380,15327
2017-05-03T12:43:21.226+0300,10.0,10.0,768647,67441,26344,17192,6605,5780,2517,52991
2017-05-03T12:43:22.211+0300,10.0,10.0,408592,143897,24656,19987,21043,9217,3057,50730
2017-05-03T12:43:23.221+0300,10.0,10.0,121312,8607,13078,3384,3485,2581,400,11829
2017-05-03T12:43:24.209+0300,10.0,10.0,116730,24163,7830,4639,6872,1784,400,12422
2017-05-03T12:43:25.198+0300,10.0,10.0,1735249,146487,31701,15638,54427,6961,2266,54945
2017-05-03T12:43:26.189+0300,10.0,10.0,3489715,855768,122359,25308,97693,14957,6381,181581
2017-05-03T12:43:27.178+0300,10.0,10.0,656358,173980,40345,13550,29151,9972,1225,60299
2017-05-03T12:43:28.185+0300,10.0,10.0,348681,15876,1405,8650,6305,2737,603,14358
2017-05-03T12:43:29.157+0300,10.0,10.0,1482310,1287522,71176,114237,180641,17902,14970,234288
2017-05-03T12:43:30.169+0300,10.0,10.0,743713,654807,249658,37459,102258,11563,13173,227694
2017-05-03T12:43:31.163+0300,10.0,10.0,1335426,105156,9667,42420,19600,5310,2826,56603
2017-05-03T12:43:32.152+0300,10.0,10.0,2391619,130374,18598,23870,29547,5335,2818,46493
2017-05-03T12:43:33.143+0300,10.0,10.0,43021,11460,1361,4285,2996,2308,549,12065
2017-05-03T12:43:34.131+0300,10.0,10.0,1536119,182312,14652,50912,37844,9030,2617,50685
2017-05-03T12:43:35.118+0300,10.0,10.0,1591079,190486,27526,10615,44098,12340,6864,56704
2017-05-03T12:43:36.111+0300,10.0,10.0,219636,88586,23612,16401,48802,5823,2378,57481
2017-05-03T12:43:37.107+0300,10.0,10.0,48176,49954,2457,7694,7556,980,633,9960
2017-05-03T12:43:38.095+0300,10.0,10.0,902800,212331,33734,20958,29762,5833,1253,57958
2017-05-03T12:43:39.105+0300,10.0,10.0,62602,10451,13468,5798,5927,1304,843,12384
2017-05-03T12:43:40.094+0300,10.0,10.0,530106,256202,46137,14112,46047,4548,2524,50210
2017-05-03T12:43:41.079+0300,10.0,10.0,1828683,1170602,78378,69136,114645,28785,7878,219779
2017-05-03T12:43:42.083+0300,10.0,10.0,107348,127970,6037,4163,3648,1698,314,11689
2017-05-03T12:43:43.061+0300,10.0,10.0,1427903,51299,23742,17897,27595,3507,4629,49771
2017-05-03T12:43:44.053+0300,10.0,10.0,1228099,195560,3820,9863,63610,6307,1780,47280
2017-05-03T12:43:45.062+0300,10.0,10.0,1234193,763618,160595,57756,103595,29396,5590,163982
2017-05-03T12:43:46.055+0300,10.0,10.0,804681,248192,22906,10413,21717,2676,1775,42565
2017-05-03T12:43:47.044+0300,10.0,10.0,394121,71429,40035,21146,24802,18381,2351,52767
2017-05-03T12:43:48.032+0300,10.0,10.0,3373126,175115,4247,9133,42727,7230,2676,51582
2017-05-03T12:43:49.024+0300,10.0,10.0,134078,35582,642,11615,3709,2050,762,10926
2017-05-03T12:43:50.014+0300,10.0,10.0,503362,9873,2352,5042,4434,1194,570,13758
2017-05-03T12:43:51.020+0300,10.0,10.0,227768,18174,7856,11475,4199,2274,584,13534
