time,primeFreq,secondFreq,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma
2017-05-16T13:52:39.798+0300,8.0,4.0,1883650,52138,55381,14525,12431,3135,2950,51869
2017-05-16T13:52:40.784+0300,8.0,4.0,810405,185284,74106,5207,29651,2849,2559,52611
2017-05-16T13:52:41.773+0300,8.0,4.0,624944,135104,21005,20601,11552,7630,2281,49149
2017-05-16T13:52:42.761+0300,8.0,4.0,511237,20138,3653,1968,2066,1482,561,12367
2017-05-16T13:52:43.774+0300,8.0,4.0,530557,72766,29817,11107,22684,2175,4850,49746
2017-05-16T13:52:44.743+0300,8.0,4.0,757331,146711,11844,16911,12723,6063,5740,49751
2017-05-16T13:52:45.734+0300,8.0,4.0,2002284,1207104,95478,139431,102759,38973,23199,178580
2017-05-16T13:52:46.742+0300,8.0,4.0,231790,27218,2305,5753,3274,1829,2029,9711
2017-05-16T13:52:47.737+0300,8.0,4.0,66524,7243,9881,4366,7882,1738,1220,12117
2017-05-16T13:52:48.728+0300,8.0,4.0,346243,582067,15593,11218,37784,6056,3339,52225
2017-05-16T13:52:49.722+0300,8.0,4.0,1262410,60465,15349,30698,31848,5404,4960,47934
2017-05-16T13:52:50.695+0300,8.0,4.0,1027051,489749,20905,4652,35389,6394,4319,40979
2017-05-16T13:52:51.707+0300,8.0,4.0,297599,20923,2669,3658,7762,950,1340,12974
2017-05-16T13:52:52.697+0300,8.0,4.0,1182264,138273,26195,37524,9179,6746,3702,51143
2017-05-16T13:52:55.661+0300,8.0,4.0,95761,20840,7970,7986,5709,2468,1279,9997
2017-05-16T13:52:56.671+0300,8.0,4.0,1114239,54785,20644,41264,23142,13309,4623,38805
2017-05-16T13:52:57.658+0300,8.0,4.0,598214,46303,39163,11797,14229,4273,2023,48695
2017-05-16T13:52:58.653+0300,8.0,4.0,1492933,20652,30838,2586,21857,5547,1648,50902
2017-05-16T13:52:59.645+0300,8.0,4.0,512471,105204,19257,15572,16375,8442,2128,46091
2017-05-16T13:53:00.633+0300,8.0,4.0,466297,268154,66747,8656,21530,8451,6867,44748
2017-05-16T13:53:01.624+0300,8.0,4.0,194107,16893,1052,4275,3955,1054,1202,12951
2017-05-16T13:53:02.613+0300,8.0,4.0,265212,24675,1201,999,7154,1050,956,10399
2017-05-16T13:53:03.606+0300,8.0,4.0,2087955,646081,62315,118866,60831,39259,35265,172950
2017-05-16T13:53:04.599+0300,8.0,4.0,731806,19903,6450,5431,9894,2144,534,12666
2017-05-16T13:53:05.607+0300,8.0,4.0,1170117,542985,68737,54561,195602,18296,15221,175603
2017-05-16T13:53:06.598+0300,8.0,4.0,359453,74245,92046,27485,26147,8359,3651,38867
2017-05-16T13:53:07.583+0300,8.0,4.0,857259,118436,30825,10863,11666,10656,10071,50174
2017-05-16T13:53:08.577+0300,8.0,4.0,1124533,96296,22992,11039,32936,4963,2367,43829
2017-05-16T13:53:09.569+0300,8.0,4.0,1169719,218264,14725,37329,44688,6533,3017,51115
2017-05-16T13:53:10.564+0300,8.0,4.0,94783,44100,2656,1237,4052,1307,1676,10573
2017-05-16T13:53:11.552+0300,8.0,4.0,1526071,135598,36433,23727,36205,10973,3409,43995
2017-05-16T13:53:12.539+0300,8.0,4.0,124601,54461,18884,9408,2802,1194,706,14508
2017-05-16T13:53:13.531+0300,8.0,4.0,991926,521432,64872,125867,49064,14513,5202,201868
2017-05-16T13:53:14.521+0300,8.0,4.0,381328,192747,27105,986,14380,1846,2665,55429
2017-05-16T13:53:15.528+0300,8.0,4.0,407223,48753,42020,11076,22287,4804,1131,42276
2017-05-16T13:53:16.518+0300,8.0,4.0,826073,368596,56793,58547,52948,39415,33990,152077
2017-05-16T13:53:17.509+0300,8.0,4.0,1214609,67002,76836,20413,18875,15037,4539,42340
2017-05-16T13:53:18.499+0300,8.0,4.0,982443,626178,76297,33611,25406,20631,4897,51685
2017-05-16T13:53:19.491+0300,8.0,4.0,1181492,266440,43297,22215,38143,10007,14025,43510
2017-05-16T13:53:20.480+0300,8.0,4.0,1285245,80573,23470,44784,17819,5864,3016,36808
